PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=1 ttl=63 时间=0.524 毫秒
64 字节，来自 10.1.1.1: icmp_seq=2 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=3 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=4 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=5 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=6 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=7 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=8 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=10 ttl=63 时间=73.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=11 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=12 ttl=63 时间=73.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=13 ttl=63 时间=0.102 毫秒
64 字节，来自 10.1.1.1: icmp_seq=14 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=15 ttl=63 时间=75.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=16 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=17 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=18 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=19 ttl=63 时间=0.123 毫秒
64 字节，来自 10.1.1.1: icmp_seq=20 ttl=63 时间=72.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=22 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=23 ttl=63 时间=0.154 毫秒
64 字节，来自 10.1.1.1: icmp_seq=24 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=25 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=26 ttl=63 时间=73.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=28 ttl=63 时间=72.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=29 ttl=63 时间=75.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=30 ttl=63 时间=72.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=31 ttl=63 时间=0.131 毫秒
64 字节，来自 10.1.1.1: icmp_seq=32 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=33 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=34 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=35 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=36 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=37 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=38 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=40 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=41 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=42 ttl=63 时间=72.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=43 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=44 ttl=63 时间=73.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=46 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=48 ttl=63 时间=73.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=49 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=50 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=52 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=53 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=54 ttl=63 时间=73.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=55 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=56 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=58 ttl=63 时间=73.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=59 ttl=63 时间=74.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=60 ttl=63 时间=73.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=62 ttl=63 时间=73.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=63 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=64 ttl=63 时间=72.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=65 ttl=63 时间=73.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=66 ttl=63 时间=76.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=67 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=68 ttl=63 时间=73.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=70 ttl=63 时间=73.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=71 ttl=63 时间=73.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=72 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=73 ttl=63 时间=75.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=74 ttl=63 时间=74.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=75 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=76 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=78 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=79 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=80 ttl=63 时间=74.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=81 ttl=63 时间=73.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=82 ttl=63 时间=75.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=84 ttl=63 时间=73.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=86 ttl=63 时间=75.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=88 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=89 ttl=63 时间=74.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=90 ttl=63 时间=74.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=91 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=92 ttl=63 时间=75.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=94 ttl=63 时间=74.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=96 ttl=63 时间=75.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=97 ttl=63 时间=74.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=98 ttl=63 时间=73.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=100 ttl=63 时间=75.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=101 ttl=63 时间=73.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=102 ttl=63 时间=73.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=103 ttl=63 时间=75.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=104 ttl=63 时间=74.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=106 ttl=63 时间=74.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=108 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=109 ttl=63 时间=37.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=110 ttl=63 时间=74.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=112 ttl=63 时间=73.8 毫秒
